,Sector_ID,Output Tax,Reverse Charge,Import VAT,Input Tax Credit Disallowance,Input Tax Credit,Value Added by Registered Ratio,VAT Potential_1,VAT Potential,Revenue,VAT Gap
0,V01,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,11.152384480000002,-11.152384480000002
1,V02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-32.87201282000001,32.87201282000001
2,V03,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.5905610900000001,-0.5905610900000001
3,VB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-4.395697600000001,4.395697600000001
4,V10_12,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,30.8409162,-30.8409162
5,V13_15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.51125058,-1.51125058
6,V16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-39.03896965,39.03896965
7,V17,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,4.39191999,-4.39191999
8,V18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.23054469,1.23054469
9,V19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.5375119,1.5375119
10,V20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-4.98300984,4.98300984
11,V21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.2909118,2.2909118
12,V22,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,6.31442601,-6.31442601
13,V23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.9637867499999992,3.9637867499999992
14,V24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.3093523800000001,0.3093523800000001
15,V25,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,-0.5765114800000005,0.5765114800000005
16,V26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5878424299999999,0.5878424299999999
17,V27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.65567181,-0.65567181
18,V28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.45696977,6.45696977
19,V29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.7015187999999997,3.7015187999999997
20,V30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.4618777599999997,2.4618777599999997
21,V31_32,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.38243597,2.38243597
22,V33,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,23.42416315,-23.42416315
23,VD,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,182.12680668,-182.12680668
24,V36,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,11.65264493,-11.65264493
25,V37_39,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,9.027184759999999,-9.027184759999999
26,VF,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-99.29876671,99.29876671
27,V45,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,124.70719265,-124.70719265
28,V46,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,632.0640712299999,-632.0640712299999
29,V47,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,472.7258840000002,-472.7258840000002
30,V49,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-72.55742805,72.55742805
31,V50,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,1.86030057,-1.86030057
32,V51,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.49449858,0.49449858
33,V52,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,10.37986588,-10.37986588
34,V53,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,4.56232759,-4.56232759
35,VI,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,33.72840458,-33.72840458
36,V58,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,4.0421439900000005,-4.0421439900000005
37,V59_60,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,11.19735782,-11.19735782
