,V01,V02,V03,VB,V10_12,V13_15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31_32,V33,VD,V36,V37_39,VF,V45,V46,V47,V49,V50,V51,V52,V53,VI,V58,V59_60,V61,V62_63,V64,V65,V66,V68B,V68A,V69_70,V71,V72,V73,V74_75,V77,V78,V79,V80_82,VO,VP,V86,V87_88,V90_92,V93,V94,V95,V96,VT,VU
R01,1.9304952101139243,0.0035227746973555247,7.772824899272334e-05,8.153312831404549e-06,2.245091329267858,0.0005473590680816253,0.0,0.0,0.0,0.0,0.3242414882334848,0.001675234009759254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.337283011669304e-05,0.0,0.0,2.174216755041213e-06,0.004796865715809675,0.0,0.0014762931766729836,0.002197589585157906,6.305228589619516e-05,0.0806482220947437,0.006430246053034387,0.030773320396664566,0.0,0.0,0.0006147597874879029,0.0,0.03569466002170035,7.501047804892183e-05,0.00013208366786875367,0.00033265516352130555,4.457144347834487e-05,0.00019785372470875034,0.00028101751558907675,0.0,0.00014458541421024062,0.0,0.004824586979436452,0.0004516935308598119,5.435541887603033e-07,7.609758642644244e-06,9.131710371173093e-05,0.0,0.0,0.0010778679563116813,0.007160239328539473,0.00038864124496361673,0.005250733463424528,0.0002750384195127134,0.00015436938960792612,0.0002201394464479228,0.00020709414591767555,9.240421208925153e-06,0.0,0.0,0.0,0.0
R02,0.30889585431206557,8.51585374514006,0.012833268794554086,0.0004788833447952136,0.030151541688051575,0.0,7.952477671711904,0.0,0.0,3.823018298785319e-05,0.03449770985930225,0.0,0.0,0.008161138010459605,0.0024245984473875307,0.01877303196193001,0.0,0.0,0.007746642342275514,0.0,0.0,0.1529187198365186,0.00043461681712506783,0.3505385841603081,0.001587558651442956,0.004833099975622282,0.01909295823009152,0.009010250495768767,0.24092862530434483,0.0013239716003161787,0.28146670407572794,0.0,0.0,0.0008169186470035996,0.0007183250171928204,0.009698393789550123,0.0001448722723750226,1.006057447048768e-05,0.0,0.002442707481434409,0.0,0.0,0.0,0.014664293348182844,0.0,0.004605730992589259,0.001553352698243298,2.012114894097536e-06,1.2072689364585214e-05,0.0013179352556338861,0.0,0.0,0.0001006057447048768,0.003971914800948536,0.09077253921742215,0.07271783227268495,0.0068613117888725985,0.02839295327061033,0.017497351119072174,0.009320116189459786,0.005911593558858561,0.00033602318731428856,2.6157493623267967e-05,0.0,0.0
R03,0.0,0.0,0.26281245763257405,0.0008471485230593451,0.6510080205601271,0.00027839759931184125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05471964593099859,0.0,0.0,0.0,0.0,0.000488476769344703,0.0,0.0,0.0,0.0,0.023588645669299625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012468113343413749,0.0,0.0007207594288932332,0.0014466427399823895,0.0,0.0,3.4159214639489723e-06,0.0,0.0,0.0,0.0,8.53980365987243e-06,6.490250781503046e-05,0.0,0.0,0.0,0.0,0.0029376924589961154,0.0,0.0,0.0,0.0
RB,0.007526260153134599,0.042205149144031284,0.0003226327935698881,0.21592958034606913,0.006224698797878296,0.0010239684673414681,0.002710666975035897,0.0,0.0,0.0,0.0032005908467531356,0.0,0.0,0.48691447067408145,0.0033596092891679235,0.008246898643615486,0.0,1.8383634961247186e-06,3.584808817443201e-05,0.0,0.0022924392796675242,0.0006581341316126494,0.005171316514598833,3.5509866058414987,0.0004742977820001774,0.006071195445951883,1.2799982706285058,0.0,1.8383634961247186e-06,9.191817480623593e-07,0.008101667927421634,0.0,0.0,0.09348721805017837,1.8383634961247186e-06,0.00014523071619385278,1.8383634961247186e-06,5.790845012792864e-05,0.0,6.434272236436516e-06,0.0,0.0,0.0,0.011656143747178778,0.0,0.0024468618133420003,0.0071622641809019035,1.4706907968997749e-05,2.757545244187078e-06,0.0012013705447175035,0.0,0.0,0.00024450234498458757,0.05593404773309069,0.015583807356649241,0.009936354696554104,0.0007426988524343862,0.0030581176758034696,0.002507527808714116,0.0012932887195237395,0.0014587414341749642,0.0,6.434272236436516e-06,0.0,0.0
R10_12,-0.998826364782966,-0.0006670961344996516,-0.16663783483078592,-0.0020040679707260364,-11.839488775872917,-0.0027295350169944076,-0.007132369504692109,-0.00030297282775192515,-0.0,-0.0,-0.5899464665447669,-0.015287619748950352,-0.0,-0.0,-2.779567227081882e-06,-0.003349378508633668,-0.0,-0.0,-0.00028907499161651574,-0.0020846754203114114,-0.0006087252227309321,-0.0012647030883222562,-0.0004919833991934931,-0.020724453245122513,-0.0,-0.004108200361627021,-0.026458700434592433,-0.0053506669121326225,-0.44694607141308534,-0.05229755737754561,-0.07327773080755966,-0.0010506764118369512,-0.02459639039244757,-0.04353636147778351,-0.0,-5.248298230726424,-0.004144334735579087,-0.034547241065400705,-0.0,-0.0548158452852818,-0.00245157829428622,-0.01115440328227959,-0.0006476391639100785,-0.0333826023972534,-0.0,-0.018206165337386327,-0.011326736450358667,-0.0004280533529706098,-0.05307583620112854,-0.03102552938868797,-0.00015843533194366725,-0.007521508916483573,-0.008983561277928641,-0.0023042612312508797,-0.10668256974262971,-0.840908032343536,-0.061425656151282516,-0.23539320975988332,-0.16979542320075094,-0.19422503955957357,-0.017622456219699132,-0.0004224942185164461,-0.04507624172158688,-0.0,-0.0
R13_15,0.182595977519535,0.14882407239028386,0.05673479894838074,0.06373438439746983,0.09262722192145777,8.892213304459947,0.2729525564400818,0.028899092738866487,0.045225203571862486,0.0,0.26239375372510204,0.02376356132358307,0.02441410367095149,0.4336615370995965,0.0009007509425101243,0.3455380698906893,0.001238532545951421,0.026572152804048666,0.24111351270830034,0.002483320306781384,0.018746878990991964,0.8675607723645777,0.03549834443572885,0.05576524064220664,0.01038991191325914,0.06207049723977751,0.29128659124909,0.24287122808917078,0.07598835034453465,0.26486456360212635,0.10309845162813798,0.0002627190248987862,0.017251882635020296,0.1633174052638669,0.010921605177935258,0.1437698587684215,0.004003337522267219,0.006086324076821881,0.027841961424392797,0.11101129844949426,0.004778984167206493,0.0,0.0,0.13451214074817852,0.0,0.0026522111085020327,0.034841546873481885,0.001357381628643729,0.059299437048583176,0.016075902237854302,0.09983322946153877,0.0034966651171052738,0.11041705303603273,0.23106763761336102,0.548976423385528,0.13695167455081014,0.045319031795040626,0.054952062707996116,0.15100088716801668,0.20042333992338118,0.11453923964099226,0.025959141745951493,0.07458718221174111,0.0,0.0
R16,0.27864915135452567,1.0170952319908628,0.008131141346533617,0.2788092945449593,0.9627033722464836,0.008451427727400889,32.456886807493476,0.08465375682696723,0.0,0.0,0.06338570795550667,0.0,0.005703163943184952,0.6342186932108845,0.0013483023452638338,0.4721331208545702,0.0,0.01862826918398998,0.022513033029347845,0.13750617557943573,0.011421825614476385,4.275130952722643,0.020648139747201314,0.8048796751194517,0.0005889136680462722,0.0033681729084751705,2.1882275495414074,0.005522357115276008,2.0832149438918934,0.0012346523391496408,0.13509369590419354,4.649318431944254e-05,0.0,0.1985000674971755,0.0,0.0066588571764179365,0.0013483023452638338,0.022611185307355557,3.6161365581788646e-05,0.008869866386275871,0.007599052681544443,0.0,0.0,0.03410533365299552,2.407324097692096,0.0021335205693255306,0.004530502516461234,0.005253729828097007,0.00543453665600595,0.0007955500427993502,0.16083025637968942,0.0,0.00023763183096603963,0.030602847100930846,0.09525936876116894,0.07227623797925785,0.0010951727861913134,0.009422618688740355,0.0152394326380395,0.009241811860831412,0.03628018149727166,0.003218361536779189,0.04381724326639018,0.0,0.0
R17,-0.19462088674774813,-0.03525451601773732,-0.0015411294890976962,-0.001046911709240173,-0.5871769374921364,-0.012609155532280964,-0.3033657752630396,-0.6749345473101194,-0.5823724615940558,-4.715818510090869e-06,-0.013135440878007108,-0.03290320890860601,-0.04027780589468612,-0.06642041738722586,-0.00016599681155519863,-0.01646575190983328,-0.0004866724702413777,-0.009993762586584572,-0.020991994515818495,-0.0008507336592203929,-0.00042253733850414194,-0.06697216815290649,-0.0015807423645824593,-0.0023984652942322165,-0.00024144990771665252,-0.0014581310833200966,-0.0229226506138497,-0.0077329991928470065,-0.07066654037371167,-0.030812214981231722,-0.05069599214717886,-8.488473318163564e-06,-0.0,-0.012606326041174913,-0.022521806040491976,-0.04783160398414966,-0.03990431306868692,-0.0028502407074989214,-0.0045168109689650345,-0.01879065043530808,-0.0019344287528392748,-0.002989828935397611,-0.010310665590462677,-0.00825268239265902,-0.0,-0.00769055682625619,-0.01745701696065438,-0.0012959069265729708,-0.012446931375533841,-0.021545631608903163,-0.00013864506419667154,-0.0023201827069647078,-0.004411176634338999,-0.06774933504336947,-0.10195316669705853,-0.11301930641283778,-0.006117359771289875,-0.008858193489354689,-0.023318779368697327,-0.02735834950444117,-0.025087211309981407,-0.0019561215179856924,-0.0023560229276413983,-0.0,-0.0
R18,-9.675295202781136e-06,-2.858609946276244e-05,-9.675295202781136e-06,-7.124535558411563e-05,-0.006881773606050872,-0.0006121823146486971,-0.0003043320127420247,-0.0013690542711935305,-0.09823635069685592,-0.0,-0.00014732835876962182,-0.0,-0.0,-0.0,-3.650225008321973e-05,-0.0003716192930159117,-0.0,-6.0250701944591605e-05,-3.386353320973397e-05,-2.5507596443695714e-05,-0.0,-2.7266741026019558e-05,-5.5413054343201034e-05,-0.00013281541596545012,-5.9810915799010646e-05,-0.00023352644330349012,-0.00038965052498473115,-0.0011170568097756402,-0.056634780255624954,-0.05340147251331373,-6.157006038133449e-05,-0.0,-0.0,-0.0004551786606762942,-0.04977807445987219,-0.0007964527096471197,-0.10959866555408561,-0.0016148947265732874,-0.005282711180718499,-0.002726234316456375,-0.00016931766604866985,-0.004082974575573638,-0.0,-6.420877725482026e-05,-0.0,-0.00034875041344570177,-0.00013149605752870724,-0.00013237562981986914,-0.03090992945601224,-0.0008654991345033305,-0.0,-3.8701180811124544e-05,-0.0006108629562119543,-0.015965556443025615,-0.011731295433372124,-0.013175992921605581,-0.003287841224363262,-0.0005000368475255522,-0.0058447578747709665,-0.0012797776836405953,-0.01068944205449083,-2.7706527171600517e-05,-7.476364474876331e-06,-0.0,-0.0
R19,-2.2355169925919163,-1.258181585481924,-0.03420411201274047,-0.3014708754472286,-0.4457150740220148,-0.01022298676522497,-0.4008036344375151,-0.006060515405747881,-0.0017675758585327791,-0.03938530757784312,-0.059502429785775336,-0.014762564804328367,-0.02611150990208686,-0.2958857646707727,-0.0692339268026722,-0.06935724604861634,-0.003000768317974253,-0.007420601582030433,-0.014532011431476265,-0.01366162776807337,-0.022447677232731753,-0.28894592942437963,-0.17179979471923348,-0.0790404877084046,-0.022478060235355677,-0.26692003975748585,-2.6114673308830647,-0.16952285675788795,-1.3765001466412636,-0.29935121420534816,-9.790613403825754,-0.1430896444750772,-1.163585000430072,-0.7050429375944175,-0.03762666789655268,-0.047281313789165495,-0.03613075182618671,-0.05553476709018104,-0.07869912573774762,-0.051080976352604,-0.02271040084365624,-0.027151680933094016,-0.014192436696267742,-0.12989805962995035,-0.0,-0.06438873150188111,-0.09041087963154469,-0.006582388156699925,-0.44648001079395827,-0.012625031207963147,-0.14040521683148138,-0.04746539904035749,-0.03721739097885398,-0.46111389464599706,-0.3953883110286635,-0.12055439270537062,-0.1187206891352446,-0.022093804613935505,-0.046636121792269294,-0.05413000002768684,-0.02774325586653623,-0.014971671351798877,-0.012887754818887633,-0.0,-0.0
